,星期,時間,方向,里程,車速,交通量
593,2,4,0,282.7,111,12
594,2,4,0,286.6,109,18
595,2,4,0,293.0,111,13
596,2,4,0,301.9,108,26
597,2,4,0,308.3,104,21
598,2,4,0,312.6,108,27
599,2,4,0,318.5,108,34
600,2,4,0,322.7,113,24
601,2,4,0,325.2,108,35
602,2,4,0,328.6,108,34
603,2,4,0,336.6,108,39
604,2,4,0,339.8,108,25
605,2,4,0,346.0,108,45
606,2,4,0,353.5,104,45
607,2,4,0,355.9,104,26
608,2,4,0,359.0,104,32
609,2,4,0,364.0,104,43
610,2,4,0,367.6,100,42
611,2,4,0,369.6,93,35
612,2,4,0,373.6,90,7
613,2,4,1,0.5,86,7
614,2,4,1,1.7,90,11
615,2,4,1,2.9,93,29
616,2,4,1,6.1,93,34
617,2,4,1,9.9,93,18
618,2,4,1,9.9,122,1
619,2,4,1,14.7,100,29
620,2,4,1,15.5,97,18
621,2,4,1,16.3,97,8
622,2,4,1,18.2,97,19
623,2,4,1,20.6,97,17
624,2,4,1,24.8,93,59
625,2,4,1,26.4,97,67
626,2,4,1,29.3,97,52
627,2,4,1,30.5,97,11
628,2,4,1,30.5,95,6
629,2,4,1,33.4,97,19
630,2,4,1,33.9,93,79
631,2,4,1,33.9,93,36
632,2,4,1,37.6,97,47
633,2,4,1,41.3,100,44
634,2,4,1,44.7,97,19
635,2,4,1,46.7,100,33
636,2,4,1,49.2,97,31
637,2,4,1,51.1,97,36
638,2,4,1,53.2,5,2
639,2,4,1,53.2,93,65
640,2,4,1,55.7,97,38
641,2,4,1,57.8,100,24
642,2,4,1,57.8,90,6
643,2,4,1,57.9,97,14
644,2,4,1,57.9,102,12
645,2,4,1,61.0,104,11
646,2,4,1,63.3,100,32
647,2,4,1,66.4,97,42
648,2,4,1,68.1,93,27
649,2,4,1,69.9,100,23
650,2,4,1,75.0,100,38
651,2,4,1,88.0,100,37
652,2,4,1,92.8,102,28
653,2,4,1,95.0,104,42
654,2,4,1,98.0,100,45
655,2,4,1,104.5,104,36
656,2,4,1,112.3,104,33
657,2,4,1,129.2,100,31
658,2,4,1,138.9,104,45
659,2,4,1,146.5,100,37
660,2,4,1,157.2,100,39
661,2,4,1,162.1,104,23
662,2,4,1,166.4,108,26
663,2,4,1,169.9,104,23
664,2,4,1,177.4,111,23
665,2,4,1,180.2,108,23
666,2,4,1,183.9,108,29
667,2,4,1,190.6,108,36
668,2,4,1,196.0,111,31
669,2,4,1,201.1,111,32
670,2,4,1,208.9,111,37
671,2,4,1,215.6,115,38
672,2,4,1,224.9,104,32
673,2,4,1,232.2,108,25
674,2,4,1,239.4,111,20
675,2,4,1,242.5,111,19
676,2,4,1,247.2,109,18
677,2,4,1,251.4,111,21
678,2,4,1,260.3,111,16
679,2,4,1,267.4,104,23
680,2,4,1,271.4,109,18
681,2,4,1,282.7,108,26
682,2,4,1,286.6,111,18
683,2,4,1,293.0,111,19
684,2,4,1,301.9,108,24
685,2,4,1,308.3,108,27
686,2,4,1,312.6,111,28
687,2,4,1,318.5,111,32
688,2,4,1,322.7,108,32
689,2,4,1,325.2,108,26
690,2,4,1,328.6,109,26
691,2,4,1,336.6,115,31
692,2,4,1,339.8,111,33
693,2,4,1,346.0,104,41
694,2,4,1,353.5,100,51
695,2,4,1,356.1,100,53
696,2,4,1,359.0,108,41
697,2,4,1,364.0,108,49
698,2,4,1,367.6,106,48
699,2,4,1,368.6,64,2
700,2,5,0,1.7,93,26
701,2,5,0,2.9,91,28
702,2,5,0,6.1,93,32
703,2,5,0,9.9,95,36
704,2,5,0,14.7,93,22
705,2,5,0,15.5,97,48
706,2,5,0,17.4,108,11
707,2,5,0,20.0,97,25
708,2,5,0,20.8,100,30
709,2,5,0,21.3,93,49
710,2,5,0,23.3,84,22
711,2,5,0,25.6,93,50
712,2,5,0,27.1,100,24
713,2,5,0,29.3,100,49
714,2,5,0,33.3,104,15
715,2,5,0,34.0,97,43
716,2,5,0,34.0,108,9
717,2,5,0,37.6,93,95
718,2,5,0,41.3,100,46
719,2,5,0,44.7,100,40
720,2,5,0,44.7,108,19
721,2,5,0,46.7,100,47
722,2,5,0,49.2,97,41
723,2,5,0,51.1,104,45
724,2,5,0,53.2,97,34
725,2,5,0,55.7,100,45
726,2,5,0,55.7,0,7
727,2,5,0,57.9,102,22
728,2,5,0,58.4,97,36
729,2,5,0,60.8,104,13
730,2,5,0,60.8,104,14
731,2,5,0,63.3,100,27
732,2,5,0,63.3,100,6
733,2,5,0,66.4,104,21
734,2,5,0,68.1,104,28
735,2,5,0,69.9,100,17
736,2,5,0,75.0,100,24
737,2,5,0,75.0,108,26
738,2,5,0,88.0,100,45
739,2,5,0,92.8,104,36
740,2,5,0,95.6,100,38
741,2,5,0,97.9,104,45
742,2,5,0,104.5,100,35
743,2,5,0,112.3,100,24
744,2,5,0,129.2,104,31
745,2,5,0,138.9,104,19
746,2,5,0,146.5,104,18
747,2,5,0,157.2,104,23
748,2,5,0,162.1,100,27
749,2,5,0,166.4,97,19
750,2,5,0,169.9,104,30
751,2,5,0,177.4,97,30
752,2,5,0,180.2,106,18
753,2,5,0,183.9,108,13
754,2,5,0,190.6,108,26
755,2,5,0,196.0,108,35
756,2,5,0,201.1,111,27
757,2,5,0,208.9,111,28
758,2,5,0,215.6,111,37
759,2,5,0,224.9,111,24
760,2,5,0,232.2,104,16
761,2,5,0,239.4,108,22
762,2,5,0,242.5,111,22
763,2,5,0,247.2,111,25
764,2,5,0,251.4,108,34
765,2,5,0,260.3,111,19
766,2,5,0,267.4,108,21
767,2,5,0,271.4,104,17
768,2,5,0,282.7,108,19
769,2,5,0,286.6,115,20
770,2,5,0,293.0,108,16
771,2,5,0,301.9,100,19
772,2,5,0,308.3,108,32
773,2,5,0,312.6,111,26
774,2,5,0,318.5,108,18
775,2,5,0,322.7,108,41
776,2,5,0,325.2,104,34
777,2,5,0,328.6,104,15
778,2,5,0,336.6,104,26
779,2,5,0,339.8,111,42
780,2,5,0,346.0,108,34
781,2,5,0,353.5,108,30
782,2,5,0,355.9,100,48
783,2,5,0,359.0,104,40
784,2,5,0,364.0,102,36
785,2,5,0,367.6,100,29
786,2,5,0,369.6,100,34
787,2,5,0,373.6,79,1
788,2,5,1,0.5,75,14
789,2,5,1,1.7,90,18
790,2,5,1,2.9,99,18
791,2,5,1,6.1,97,26
792,2,5,1,9.9,93,14
793,2,5,1,9.9,111,11
794,2,5,1,14.7,100,25
795,2,5,1,15.5,91,22
796,2,5,1,16.3,97,5
797,2,5,1,18.2,93,19
798,2,5,1,20.6,97,28
799,2,5,1,24.8,97,57
800,2,5,1,26.4,97,43
801,2,5,1,29.3,97,46
802,2,5,1,30.5,99,12
803,2,5,1,30.5,97,13
804,2,5,1,33.4,93,8
805,2,5,1,33.9,95,66
806,2,5,1,33.9,93,24
807,2,5,1,37.6,93,44
808,2,5,1,41.3,97,42
809,2,5,1,44.7,100,24
810,2,5,1,46.7,100,40
811,2,5,1,49.2,100,43
812,2,5,1,51.1,100,48
813,2,5,1,53.2,7,4
814,2,5,1,53.2,93,68
815,2,5,1,55.7,100,35
816,2,5,1,57.8,100,19
817,2,5,1,57.8,95,4
818,2,5,1,57.9,104,13
819,2,5,1,57.9,97,19
820,2,5,1,61.0,100,22
821,2,5,1,63.3,104,25
822,2,5,1,66.4,102,26
823,2,5,1,68.1,99,20
824,2,5,1,69.9,104,25
825,2,5,1,75.0,100,43
826,2,5,1,88.0,100,47
827,2,5,1,92.8,104,36
828,2,5,1,95.0,100,30
829,2,5,1,98.0,104,28
830,2,5,1,104.5,104,44
831,2,5,1,112.3,100,28
832,2,5,1,129.2,104,29
833,2,5,1,138.9,102,32
834,2,5,1,146.5,104,43
835,2,5,1,157.2,106,34
836,2,5,1,162.1,104,30
837,2,5,1,166.4,108,28
838,2,5,1,169.9,111,26
839,2,5,1,177.4,115,20
840,2,5,1,180.2,108,21
841,2,5,1,183.9,108,26
842,2,5,1,190.6,108,29
843,2,5,1,196.0,109,30
844,2,5,1,201.1,108,23
845,2,5,1,208.9,111,32
846,2,5,1,215.6,111,25
847,2,5,1,224.9,115,27
848,2,5,1,232.2,109,32
849,2,5,1,239.4,111,28
850,2,5,1,242.5,111,23
851,2,5,1,247.2,109,18
852,2,5,1,251.4,111,18
853,2,5,1,260.3,109,12
854,2,5,1,267.4,109,22
855,2,5,1,271.4,108,17
856,2,5,1,282.7,106,22
857,2,5,1,286.6,108,20
858,2,5,1,293.0,111,24
859,2,5,1,301.9,111,10
860,2,5,1,308.3,109,22
861,2,5,1,312.6,108,32
862,2,5,1,318.5,109,36
863,2,5,1,322.7,115,33
864,2,5,1,325.2,115,20
865,2,5,1,328.6,108,22
